original,translate
#Steam Achivements,#Steam 成就
Achievement Unlocked,成就解锁
All is Darkness,黑暗笼罩
You’ve finished the game!,你完成了游戏！
A Deeper Dark,更深的黑暗
You’ve completed the lighthouse-keeper’s quest,你完成了灯塔守卫的任务
The Liberator of Horryn,解放者霍里恩
You’ve liberated the beleaguered town of Horryn,你解放了被围困的霍里恩镇
Patricide,杀父之仇
You’ve slain the foul leader of the Reavers on Idra,你斩杀了伊德拉掠夺者头目的恶毒首领
Pilgrimage,朝圣之旅
The Liberator of Horryn,The Liberator of Horryn
Puppeteer,操控者
You managed to defeat the Reaver chieftains using wits rather than brawn,你用智谋而非武力击败了伊德拉掠夺者酋长
A Light in the Darkness,黑暗中的光芒
You managed to help the wretched refugees of Horryn,你帮助了霍里恩的悲惨难民
Gradla,格拉拉
You’ve sailed north to Gradla to uncover the secrets that may be found on the island's plateau,你航行至格拉拉，去探索岛上高原上的秘密
Shores of Idra,伊德拉的海岸
You've made it to the bleak shores of the Isle of Idra,你抵达了荒凉的伊德拉岛海岸
Such Wonders,奇异之物
The Eternity Gate,永恒之门
The Black Priory reveals its secrets to you,黑色修道院向你揭示它的秘密
The Priory Opens,修道院开启
You stand at the threshold of the Black Priory,你站在黑色修道院的门槛前
The Queen is Dead,国王已死
Tower of Ash,灰烬之塔
Chitters-In-Darkness,黑暗之呢喃
