original,translate
#General,#通用
Victory!,胜利！
Combat!,战斗！
There are no enemies. Press ENTER to leave combat!,没有敌人。按 ENTER 键离开战斗！
Auto-resolving round!,自动解决回合！
Press any key to stop!,按任意键停止！
The combatants stare at each other from across the battlefield,参战者在战场上对视
The party has been attacked!,队伍遭到攻击！
Prepare for combat!,准备战斗！
REMEMBER: You can press RETURN on your turn to auto-resolve combat!,记住：在你的回合中按 RETURN 键可以自动解决战斗！
Round,回合
Deploy Your Party!,部署你的队伍！
Begin Combat!,开始战斗！
Deploy your party and press {ITEM},部署你的队伍并按 {ITEM}
Deploy Party,部署队伍
Out of range,超出范围
Pass turn and defend,交出回合并防御
Open the current character's Inventory,打开当前角色的装备栏
Hold action until end of turn,保持动作直到回合结束
Slashing Damage,刀砍伤害
Bloodied!,血量下降！
Charge {ITEM},冲击 __PLACEHOLDER_0__
Select an Item to use,选择一个物品使用
View combat log,查看战斗日志
Repeat last action,重复上次行动
No Maneuvers to perform,没有可执行的格斗技巧
No spells available,没有可用的法术
Perform attack,进行攻击
Select a Maneuver to perform,选择一个要执行的格斗技巧
Fire-Spit,火焰吐息
Electric Damage,电击伤害
Fire Damage,火焰伤害
An option!,一个选项！
Critical Hit!,临界暴击！
Hostile,敌对
Not Alert,不警戒
Alerted,已警戒
Shifting,移动中
is Flat-Footed,处于措手不及状态
Out of ammo!,弹药用尽！
#Combat Log Misc,#战斗日志 其他
Combat Log,战斗日志
hits,中招
Hidden,隐藏
Miss,未中
misses,未中
took damage,受伤
Clear Log,清除日志
is Dead,已死亡
Targets user,目标是用户
takes takes damage from,从...受伤害
Incoming damage,进攻伤害
Incoming amount,进攻量
Damage Taken,受到伤害
Target took extra damamge,目标受到额外伤害
Armor Soak reduced damage by,防具吸收减少了...伤害
ATTACK ROLL MODIFIERS,攻击骰修正
Weapon Accuracy,武器精度
DEFENCE ROLL MODIFIERS,防御骰修正
gained the condition,获得条件
automatically hit,自动命中的
Base Backstab Bonus,基础偷袭加值
Weapon Backstab Mod,武器偷袭修正
BACKSTABBED,被偷袭
2d6,2d6
Homer forces himself forwards!,奥梅尔强迫自己向前冲！
forwards!,！
is Knocked Out,被击倒
Cooldown,冷却
Cooldown: 1 turn,冷却：1回合
Cooldown: 2 turns,冷却：2回合
Cooldown: 3 turns,冷却：3回合
Aura effect,附魔效果
Flanked,夹击
Cannot fire in melee!,不能近战射击！
Out of ammo!,弹药用尽！
Can't reach target!,无法到达目标！
Damage reduced by,伤害减免{VALUE}点
Ammo Accuracy,弹药精度
fights defensivly and gains +3 to Dodge until next turn!,采取防御姿态，直到下个回合结束前获得+3闪避加值！
Ready,准备
Criticals,临界
Critical Hits,临界击中
Sleep,睡眠
Resistant,抵抗
Vulnerable,易伤
Immune,免疫
RESISTANCES,抵抗
VULNERABILITIES,易伤
IMMUNITIES,免疫
Move/Atc,移动/攻击
Characters resistance is 100%,角色的抵抗值为100%
Damage reduced to,伤害减少至
Non-Magical,非魔法
Gained,获得
XP!,经验值！
GP,铜币
Removes Conditions,解除条件
Disengages,解脱
Disengaging,正在解脱
turns,轮次
Time Use,时间使用
Confirm,确认
Spell,法术
Cost,成本
Att,攻击
#Combat Log,战斗日志#
Soak: -1,吸收：-1
Soak: -2,吸收：-2
Soak: -3,吸收：-3
Soak: -4,吸收：-4
Soak: -5,吸收：-5
Soak: -6,吸收：-6
Soak: -7,吸收：-7
Soak: -8,吸收：-8
Soak: -9,吸收：-9
Soak: -10,吸收：-10
Soak: -11,吸收：-11
Soak: -12,吸收：-12
Soak: -13,吸收：-13
Soak: -14,吞噬: -14
Soak: -15,吞噬: -15
Soak: -16,吞噬: -16
Slashing Damage,斩击伤害
Blunt Damage,冲击伤害
Piercing Damage,穿刺伤害
Magical Damage,法术伤害
Cold Damage,寒冷伤害
Acid Damage,酸性伤害
Kinetic Damage,超凡伤害
Sublime Damage,神圣伤害
Electric Damage,电击伤害
Fire Damage,火焰伤害
Psychic Damage,心理伤害
Slashing Dmg,斩击伤害
Blunt Dmg,冲击伤害
Piercing Dmg,穿刺伤害
Magical Dmg,法术伤害
Cold Dmg,寒冷伤害
Acid Dmg,酸性伤害
Kinetic Dmg,动能伤害
Sublime Dmg,绝美伤害
Electric Dmg,电击伤害
Fire Dmg,火焰伤害
Psychic Dmg,心灵伤害
Non-Magical Dmg,非魔法伤害
Resistant to Slashing Damage,抵抗割伤伤害
Resistant to Blunt Damage,抵抗钝击伤害
Resistant to Piercing Damage,抵抗穿刺伤害
Resistant to Magical Damage,抵抗魔法伤害
Resistant to Cold Damage,抵抗寒冷伤害
Resistant to Acid Damage,抵抗酸性伤害
Resistant to Kinetic Damage,抵抗动能伤害
Resistant to Sublime Damage,抵抗绝美伤害
