original,translate
#Weapons,#武器
Crude Broadsword,粗制滥造阔剑
Crude Club,粗制滥造战锤
Crude Cutlass,粗制滥造刀剑
Crude Dagger,粗制滥造匕首
Crude Greataxe,粗制滥造巨斧
Crude Greathammer,粗制滥造重锤
Crude Handaxe,粗制滥造双手斧
Crude Longsword,粗制滥造长剑
Crude Mace,粗制滥造战锤
Crude Rapier,粗制滥造长矛
Crude Scimitar,粗制滥造短剑
Crude Shortsword,粗制滥造双手剑
Crude Two-Hander,粗制滥造战斧
Crude Waraxe,阔剑
Crude Warhammer,战锤
Broadsword,刀剑
Club,战锤
Cutlass,刀剑
Dagger,匕首
Greataxe,大战斧
Greathammer,大战锤
Handaxe,手斧
Light Club,轻拳棍
Longsword,长剑
Mace,长矛
Rapier,轻剑
Scimitar,弯刀
Shortsword,短剑
Two-Hander,双手武器
Waraxe,战斧
Warhammer,战锤
Fine Broadsword,精致长剑
Fine Club,精致拳棍
Fine Cutlass,精致弯刀
Fine Dagger,精致匕首
Fine Greataxe,精致大战斧
Fine Greathammer,精致大战锤
Fine Handaxe,精致手斧
Fine Longsword,精致长剑
Fine Mace,精良战锤
Fine Rapier,精良长矛
Fine Scimitar,精良弯刀
Fine Shortsword,精良短剑
Fine Two-Hander,精良双手剑
Fine Waraxe,精良战斧
Fine Warhammer,精良战锤
Masterwork Broadsword,精工阔剑
Masterwork Club,精工棍棒
Masterwork Cutlass,精工刀剑
Masterwork Dagger,精工匕首
Masterwork Greataxe,精工巨斧
Masterwork Greathammer,精工巨锤
Masterwork Handaxe,精工双手斧
Masterwork Longsword,精工长柄武器
Masterwork Mace,精工战锤
Masterwork Rapier,精工长矛
Masterwork Scimitar,精工弯刀
Masterwork Shortsword,精工短剑
Masterwork Two-Hander,精工双手剑
Masterwork Waraxe,精工战斧
Masterwork Warhammer,精工战锤
The Sparrowhawk,燕隼
A legendary rapier of unrivaled quality,一件无与伦比的传奇长剑
It also adds +2 to the wielder’s initiative,它还能为使用者增加+2的先攻值
Ancient Dagger,古老匕首
"An ancient dagger, carved from a strange greenish stone",一把用一种奇异的绿石雕刻而成的古老匕首
It looks almost ritual and you suspect it might be of some value to someone with the right interest,它看起来几乎像是一件仪式用品，你怀疑它对某些有特殊兴趣的人可能有价值
Mathias's Sword,马蒂亚斯之剑
A beautifully crafted bastard-sword,一把工艺精美的异形剑
The Lake Blade,湖刃
A stunningly wrought longsword of ancient design,一把古朴精美的长剑
The bluish sheen of its metal never seems to lose its luster; giving it its name,它的蓝色光泽从未失去光彩，因此得名
You recovered this sword from the crypt under Horryn,你从霍里恩的地穴下找回了这把剑
Two-Hander,双手剑
A large sword that must be wielded two-handed,一种必须双手使用的大型剑
A cutlass is a curved sword favored by sailors and swordsmen of Yom-Baria,刀锋剑是尤姆-巴利亚的水手和剑士们偏爱的弯刀
Crude Longbow,粗制长弓
Crude Shortbow,粗制短弓
Crude Composite Bow,粗制复合弓
Composite Longbow,复合长弓
Longbow,长弓
Shortbow,短弓
Fine Longbow,精良长弓
Fine Shortbow,精良短弓
Fine Composite Bow,精良复合弓
Masterwork Longbow,精工长弓
Masterwork Shortbow,精工短弓
Masterwork Composite Bow,精工复合弓
#Weapon Types,武器类型
Light Axe,轻型战斧
Medium Axe,中型战斧
Heavy Axe,重型战斧
Light Blade,轻型匕首
Medium Blade,中型匕首
Heavy Blade,重型匕首
Light Club,轻型棍棒
Medium Club,中型棍棒
Heavy Club,重型棍棒
Light Bow,轻型弓
Medium Bow,中型弓
Heavy Bow,重型弓
#Weapons - Ammo,#武器 - 弹药
Bodkin Arrow,普通箭矢
Broadhead Arrow,宽头箭矢
Fire Arrow,火箭矢
Hunting Arrow,猎箭矢
Poison Arrow,毒箭矢
Poor Arrow,次级箭矢
Ammo,弹药
#Armor,#护甲
Poor Breastplate,次级胸甲
Poor Chainmail,次级环甲
Poor Fullplate,次级全甲
Poor Halfplate,次级半甲
Poor Leather Armor,次级皮甲
Poor Padded Armor,次级充气甲
Poor Scalemail,次级鳞甲
Poor Studded Leather,次级钉鳞甲
Ancient Halfplate,古老的半甲
Fine Breastplate,精良胸甲
Fine Chainmail,精良环甲
Fine Fullplate,精良全甲
Fine Halfplate,精良半甲
Fine Leather Armor,精良皮甲
Fine Padded Armor,精良毛皮甲
Fine Scalemail,精良鳞甲
Fine Studded Leather,精良钉鳞甲
Masterwork Breastplate,精工作品胸甲
Masterwork Chainmail,精工作品环甲
Masterwork Fullplate,精工作品全甲
Masterwork Halfplate,精工作品半甲
Masterwork Leather Armor,精工作品皮甲
Masterwork Padded Armor,精工作品毛皮甲
Masterwork Scalemail,精工作品鳞甲
Masterwork Studded Leather,精工作品钉鳞甲
The Rat Queen's Armor,老鼠女王的甲胄
Breastplate,胸甲
Chainmail,环甲
Fullplate,全甲
Half plate,皮半甲
Leather Armor,皮甲
Padded Armor,垫肩甲
Scalemail,鳞甲
Studded Leather,链甲
The Second Chance,第二次机会
Adds the following triggered ability,添加以下触发能力
"The first time you take Wound Damage each combat, you automatically regain 30-40 Vitality Hit Points",每场战斗中，你第一次受到伤痕伤害时，会自动恢复 30-40 生命值
#Armor - Shields,#盔甲 - 屏障
Buckler,手盾
A small rounded shield to be worn on the forearm,一种小型圆盾，佩戴在前臂上
Large Shield,大型盾牌
A large shield,一种大型盾牌
Plank Shield,木板盾牌
An improvised shield made from wooden planks,一种用木板制成的简易盾牌
Tower Shield,塔盾
Shield,屏障
A medium sized shield,一种中型盾牌
Tower Shield,Tower Shield
#Clothing,#服装
Dress,衣服
Furs,毛皮
Noble's Outfit,名门服饰
Pants,裤子
Tribal Sash,部落腰带
Apron,围裙
Bravo's Outfit,布拉沃的服饰
Checkered Tunic,格子长袍
Comfortable Outfit,舒适的服饰
Commoner's Garb,平民服饰
Rough but functional woolen clothing that serves the hard-working commoners of the empire well,粗糙但实用的羊毛服装，适合帝国辛勤的平民
Doublet,背心
Flashy Shirt,闪亮的衬衫
Rags,破旧衣物
Ranger's Outfit,游侠服饰
Robes,长袍
Short Pants,短裤
Tabard,背心
Toga,托加
Traveler's Garb,旅者的服饰
Rough but functional woolen clothing,粗糙但功能性的羊毛衣物
Well suited for travel and adventuring if you can learn to live with the itching,适合旅行和冒险，如果你能习惯痒感的话
#Armor Types,#盔甲类型
Light Armor,轻型盔甲
Medium Armor,中型盔甲
Heavy Armor,重型盔甲
Shield,盾牌
Clothing,衣服
#Accessories,#饰品
Armored Boots,铠甲靴
Masterwork Armored Boots,精工铠甲靴
Noble's Boots,贵族靴
Masterwork Noble's Boots,精工贵族靴
Leather Boots,皮靴
Masterwork Leather Boots,精工皮靴
Travelers Boots,旅行者靴
Masterwork Travelers Boots,精工旅行者靴
The Farstriders,远行者
These legendary boots increase the Carrying Capacity of the wearer by 30 lb as well as conferring a +1 bonus to their Fortitude,这些传奇靴子使穿戴者的负重能力增加30磅，并提供+1体质加成
The Tyrant,专制者
