original,translate
#Cleric Feats,#牧师专长
Medium Armor Expert,中型盔甲精通
Heavy Armor Expert,重型盔甲精通
Body Magic Initiate,身体法术入门
You may now cast Tier 1 spells of the Body School,您现在可以施放身体法术学派的1级法术
Body Magic Expert,身体法术精通
You may now cast Tier 2 spells of the Body School,您现在可以施放身体法术学派的2级法术
Body Magic Master,身体法术大师
You may now cast Tier 3 spells of the Body School,您现在可以施放身体法术学派的3级法术
Body Magic Grand Master,身体法术宗师
You may now cast Tier 4 spells of the Body School,您现在可以施放身体法术学派的4级法术
Mind Magic Initiate,心灵法术入门
You may now cast Tier 1 spells of the Mind School,您现在可以施放心灵法术学派的1级法术
Mind Magic Expert,心灵法术精通
You may now cast Tier 2 spells of the Mind School,您现在可以施放心灵法术学派的2级法术
Mind Magic Master,心灵法术大师
You may now cast Tier 3 spells of the Mind School,您现在可以施放心灵法术学派的3级法术
Mind Magic Grand Master,心灵法术宗师
You may now cast Tier 4 spells of the Mind School,您现在可以施放心灵法术学派的4级法术
Religious Training,宗教训练
Resilience Initiate,坚韧学徒
Resilience Expert,坚韧专家
Divine Spellcasting,神圣法术施放
"You gain the ability to learn spells from the Mind, Body and Spirit School",你获得了从心灵、身体和精神学派学习法术的能力
Spirit Magic Initiate,精神魔法学徒
You may now cast Tier 1 spells of the Spirit School,你现在可以施放精神学派的1级法术
Spirit Magic Expert,精神魔法专家
You may now cast Tier 2 spells of the Spirit School,你现在可以施放精神学派的2级法术
Spirit Magic Master,精神魔法大师
You may now cast Tier 3 spells of the Spirit School,你现在可以施放精神学派的3级法术
Spirit Magic Grand Master,精神魔法宗师
You may now cast Tier 4 spells of the Spirit School,你现在可以施放精神学派的4级法术
Faithful Initiate,忠诚信徒学徒
Faithful Expert,忠诚信徒专家
Faithful Master,忠诚信徒大师
Faithful Grand Master,忠诚信徒宗师
Cleric Weapons Initate,牧师武器学徒
Cleric Weapons Expert,牧师武器专家
Cleric Weapons Master,牧师武器大师
Cleric Weapons Grand Master,牧师武器宗师
#Magos Feats,#魔导士专长
Air Magic Initiate,空中魔法初学者
Air Magic Expert,空中魔法专家
Air Magic Master,空中魔法大师
Air Magic Grand Master,空中魔法宗师
Trickster Initiate,愚弄者初学者
Trickster Expert,愚弄者专家
Trickster Master,愚弄者大师
Arcane Font Initiate,蕴魔初学者
Arcane Font Expert,蕴魔专家
Arcane Font Master,蕴魔大师
Arcane Spellcasting,蕴魔施法
Sorcerous Initiate,术士初学者
Sorcerous Expert,术士专家
Sorcerous Master,术士大师
Blade Initiate,刀刃初学者
Earth Magic Initiate,地上魔法初学者
Earth Magic Expert,地上魔法专家
Earth Magic Master,地上魔法大师
Earth Magic Grand Master,地上魔法宗师
